iter	Passed	Remaining
0	145	72789
1	158	39575
2	173	28698
3	187	23200
4	201	19949
5	213	17549
6	226	15969
7	240	14762
8	252	13765
9	263	12919
10	272	12132
11	284	11566
12	296	11110
13	306	10633
14	317	10274
15	328	9952
16	340	9662
17	349	9363
18	360	9126
19	370	8893
20	382	8727
21	393	8557
22	405	8414
23	416	8265
24	428	8143
25	438	7986
26	449	7873
27	461	7779
28	473	7684
29	484	7595
30	496	7517
31	508	7433
32	519	7345
33	527	7232
34	536	7127
35	543	7004
36	549	6873
37	554	6740
38	559	6613
39	564	6496
40	570	6388
41	575	6277
42	580	6173
43	586	6080
44	591	5984
45	597	5899
46	603	5813
47	607	5723
48	612	5638
49	618	5564
50	623	5487
51	628	5414
52	633	5345
53	639	5277
54	644	5213
55	649	5152
56	654	5089
57	660	5030
58	666	4981
59	671	4925
60	676	4870
61	681	4817
62	686	4761
63	690	4706
64	696	4658
65	700	4607
66	705	4556
67	709	4507
68	714	4465
69	719	4417
70	723	4370
71	728	4328
72	732	4287
73	737	4244
74	741	4203
75	747	4169
76	751	4129
77	755	4089
78	760	4054
79	765	4018
80	769	3981
81	774	3946
82	780	3920
83	785	3888
84	790	3858
85	796	3832
86	801	3804
87	806	3775
88	812	3751
89	817	3726
90	822	3698
91	841	3731
92	852	3731
93	863	3729
94	873	3725
95	885	3725
96	897	3728
97	909	3730
98	919	3725
99	931	3727
100	945	3734
101	957	3737
102	972	3747
103	986	3754
104	998	3755
105	1009	3751
106	1019	3743
107	1028	3733
108	1036	3718
109	1046	3710
110	1056	3700
111	1064	3687
112	1073	3677
113	1081	3660
114	1090	3649
115	1098	3635
116	1108	3629
117	1119	3623
118	1128	3614
119	1138	3605
120	1147	3595
121	1155	3580
122	1162	3563
123	1169	3545
124	1176	3528
125	1184	3515
126	1190	3497
127	1196	3478
128	1202	3457
129	1207	3436
130	1212	3414
131	1217	3395
132	1222	3374
133	1227	3352
134	1232	3333
135	1238	3313
136	1242	3292
137	1247	3272
138	1252	3253
139	1257	3233
140	1262	3213
141	1271	3205
142	1275	3185
143	1281	3167
144	1286	3149
145	1291	3130
146	1296	3112
147	1301	3095
148	1306	3077
149	1310	3057
150	1316	3041
151	1320	3024
152	1325	3005
153	1331	2990
154	1336	2974
155	1340	2956
156	1345	2940
157	1350	2924
158	1355	2907
159	1360	2890
160	1365	2876
161	1370	2860
162	1375	2843
163	1380	2828
164	1385	2812
165	1390	2796
166	1396	2784
167	1401	2769
168	1405	2753
169	1410	2738
170	1415	2723
171	1419	2707
172	1424	2692
173	1430	2680
174	1436	2667
175	1442	2654
176	1447	2641
177	1452	2628
178	1458	2615
179	1464	2603
180	1469	2589
181	1475	2577
182	1480	2564
183	1484	2550
184	1490	2537
185	1495	2525
186	1501	2512
187	1506	2500
188	1512	2488
189	1518	2477
190	1525	2467
191	1531	2456
192	1537	2445
193	1543	2434
194	1549	2423
195	1555	2413
196	1562	2403
197	1568	2392
198	1574	2381
199	1579	2369
200	1584	2356
201	1589	2344
202	1594	2332
203	1599	2320
204	1604	2308
205	1609	2297
206	1614	2285
207	1620	2274
208	1625	2263
209	1631	2252
210	1636	2241
211	1642	2231
212	1649	2221
213	1655	2212
214	1660	2201
215	1664	2188
216	1669	2177
217	1674	2166
218	1679	2154
219	1684	2143
220	1689	2133
221	1694	2121
222	1698	2109
223	1704	2099
224	1709	2088
225	1713	2077
226	1720	2068
227	1725	2058
228	1729	2047
229	1735	2037
230	1741	2027
231	1746	2017
232	1753	2009
233	1758	1999
234	1764	1990
235	1771	1981
236	1777	1972
237	1784	1964
238	1790	1955
239	1796	1946
240	1802	1937
241	1809	1928
242	1815	1920
243	1821	1910
244	1826	1900
245	1831	1891
246	1837	1882
247	1842	1872
248	1848	1863
249	1854	1854
250	1859	1844
251	1865	1835
252	1871	1826
253	1876	1817
254	1881	1807
255	1886	1798
256	1891	1788
257	1897	1779
258	1903	1770
259	1908	1761
260	1914	1753
261	1920	1744
262	1925	1735
263	1931	1726
264	1936	1717
265	1941	1708
266	1947	1699
267	1955	1692
268	1962	1685
269	1969	1677
270	1976	1670
271	1983	1662
272	1989	1654
273	1997	1647
274	2003	1639
275	2010	1631
276	2017	1624
277	2024	1616
278	2030	1608
279	2037	1600
280	2043	1592
281	2050	1584
282	2056	1576
283	2062	1568
284	2069	1560
285	2075	1552
286	2081	1545
287	2086	1536
288	2093	1528
289	2100	1520
290	2106	1512
291	2112	1504
292	2118	1496
293	2124	1488
294	2130	1480
295	2135	1471
296	2142	1464
297	2147	1455
298	2153	1447
299	2159	1439
300	2164	1431
301	2170	1422
302	2177	1415
303	2183	1407
304	2190	1400
305	2196	1392
306	2202	1384
307	2208	1376
308	2213	1368
309	2217	1359
310	2222	1350
311	2227	1342
312	2232	1333
313	2237	1325
314	2242	1317
315	2247	1308
316	2252	1300
317	2257	1292
318	2262	1283
319	2267	1275
320	2272	1267
321	2277	1259
322	2282	1250
323	2288	1243
324	2293	1235
325	2298	1226
326	2304	1219
327	2309	1211
328	2315	1203
329	2320	1195
330	2326	1187
331	2331	1179
332	2338	1172
333	2344	1165
334	2350	1157
335	2357	1150
336	2363	1143
337	2369	1135
338	2375	1128
339	2381	1120
340	2388	1113
341	2394	1106
342	2399	1098
343	2405	1090
344	2410	1083
345	2416	1075
346	2422	1067
347	2428	1060
348	2434	1053
349	2441	1046
350	2447	1039
351	2453	1031
352	2460	1024
353	2466	1017
354	2473	1010
355	2480	1003
356	2486	996
357	2492	988
358	2499	981
359	2505	974
360	2511	967
361	2517	959
362	2523	952
363	2529	945
364	2535	937
365	2541	930
366	2547	923
367	2553	915
368	2559	908
369	2566	901
370	2572	894
371	2579	887
372	2586	880
373	2592	873
374	2599	866
375	2604	858
376	2611	851
377	2617	844
378	2622	837
379	2628	830
380	2634	822
381	2639	815
382	2645	808
383	2650	800
384	2656	793
385	2661	786
386	2667	778
387	2672	771
388	2678	764
389	2683	756
390	2689	749
391	2695	742
392	2700	735
393	2705	727
394	2711	720
395	2718	713
396	2724	706
397	2729	699
398	2734	692
399	2740	685
400	2746	677
401	2750	670
402	2755	663
403	2760	656
404	2765	648
405	2769	641
406	2774	634
407	2779	626
408	2783	619
409	2787	611
410	2792	604
411	2797	597
412	2801	590
413	2807	583
414	2811	575
415	2816	568
416	2820	561
417	2825	554
418	2829	547
419	2833	539
420	2838	532
421	2843	525
422	2847	518
423	2852	511
424	2856	504
425	2861	497
426	2866	489
427	2871	483
428	2875	475
429	2880	468
430	2885	461
431	2889	454
432	2893	447
433	2898	440
434	2903	433
435	2908	426
436	2913	419
437	2918	413
438	2923	406
439	2927	399
440	2932	392
441	2937	385
442	2941	378
443	2946	371
444	2951	364
445	2956	357
446	2960	351
447	2964	344
448	2969	337
449	2974	330
450	2979	323
451	2983	316
452	2988	310
453	2993	303
454	2997	296
455	3001	289
456	3006	282
457	3010	276
458	3014	269
459	3019	262
460	3024	255
461	3029	249
462	3033	242
463	3038	235
464	3043	229
465	3047	222
466	3052	215
467	3056	209
468	3061	202
469	3066	195
470	3070	189
471	3075	182
472	3079	175
473	3084	169
474	3089	162
475	3093	155
476	3098	149
477	3103	142
478	3108	136
479	3114	129
480	3119	123
481	3125	116
482	3131	110
483	3136	103
484	3142	97
485	3147	90
486	3152	84
487	3157	77
488	3162	71
489	3167	64
490	3172	58
491	3177	51
492	3182	45
493	3187	38
494	3192	32
495	3196	25
496	3201	19
497	3206	12
498	3211	6
499	3216	0
