City,Year,Month,satellite_aod,satellite_no2,satellite_co,_source
Ahmedabad,2015,1,0.82136347027468,4710962617382875.0,0.04996212271637022,simulated
Ahmedabad,2015,2,0.35983303550127677,3633744862520824.5,0.020928217448401176,simulated
Ahmedabad,2015,3,0.5213136233900099,2223894470816073.2,0.0494469775282613,simulated
Ahmedabad,2015,4,0.4480215993812884,1123456411464037.5,0.027244921863234912,simulated
Ahmedabad,2015,5,0.21674770419774983,3116619759917053.0,0.04806291208469796,simulated
Ahmedabad,2015,6,0.5989769303316459,875023474337757.0,0.04638895624295257,simulated
Ahmedabad,2015,7,0.42185806194029607,532386016159430.06,0.030488517197607496,simulated
Ahmedabad,2015,8,0.4764214853638169,2850565321831241.5,0.0327822162674337,simulated
Ahmedabad,2015,9,0.57898450304317,2733336583776568.0,0.024822179442925692,simulated
Ahmedabad,2015,10,0.8032084596189407,1726932780279875.2,0.045637628487914965,simulated
Ahmedabad,2015,11,0.8918587216724145,5837744803913460.0,0.06858681053631659,simulated
Ahmedabad,2015,12,0.9394608099485826,3220946881447040.0,0.05108372979789414,simulated
Ahmedabad,2016,1,0.2606947722636414,1780110134344979.5,0.07883856178538265,simulated
Ahmedabad,2016,2,0.3053680495784251,2572364137805013.0,0.043854643256304435,simulated
Ahmedabad,2016,3,0.3789149896360743,1609874389200063.0,0.04483174866599651,simulated
Ahmedabad,2016,4,0.28123000652789343,2767441617455591.0,0.039619333074301114,simulated
Ahmedabad,2016,5,0.17774377426193494,1558040998485025.2,0.038361416092733115,simulated
Ahmedabad,2016,6,0.5201670193109403,1007687723795866.2,0.03195672715952251,simulated
Ahmedabad,2016,7,0.5461666096471028,510868942554388.3,0.02877546452143929,simulated
Ahmedabad,2016,8,0.34271139659043887,3035416609306731.0,0.02578116303059104,simulated
Ahmedabad,2016,9,0.40974665983398706,2747116144000103.0,0.03869703462954639,simulated
Ahmedabad,2016,10,0.5621502864685021,5442608930573242.0,0.05967923560751316,simulated
Ahmedabad,2016,11,0.6184171108441735,5849549349360488.0,0.036717548858568955,simulated
Ahmedabad,2016,12,0.24657200113837946,839278677310132.1,0.045233696266799114,simulated
Ahmedabad,2017,1,0.8405176574754256,2611698242959743.5,0.06148653241762406,simulated
Ahmedabad,2017,2,0.4953639662868372,2824078578267414.0,0.02123874402478857,simulated
Ahmedabad,2017,3,0.45193432512343257,633798599096154.0,0.04926009751188803,simulated
Ahmedabad,2017,4,0.3093030290371762,2444214043612245.0,0.034347904218687955,simulated
Ahmedabad,2017,5,0.3028172403927356,3632003043075030.5,0.022675142395211862,simulated
Ahmedabad,2017,6,0.5546186694887264,1327024240283302.5,0.02332852948085451,simulated
Ahmedabad,2017,7,0.1641724449778735,2915065294816911.0,0.038793003522971235,simulated
Ahmedabad,2017,8,0.44127128107777325,1006957542246539.5,0.044289316474891774,simulated
Ahmedabad,2017,9,0.44619785749709573,1114342563821622.2,0.034212531729730364,simulated
Ahmedabad,2017,10,0.6418650831649828,2263485855918549.5,0.04271372591930997,simulated
Ahmedabad,2017,11,0.3317669095424183,5945911056732830.0,0.04397799575303593,simulated
Ahmedabad,2017,12,0.7265324343367333,3205071865377680.0,0.04641209333020019,simulated
Ahmedabad,2018,1,0.2934773652552811,2368483895536213.0,0.042685317404768,simulated
Ahmedabad,2018,2,0.2693466414819991,3432388859592244.5,0.03426147193462965,simulated
Ahmedabad,2018,3,0.2816537034528292,3611230986931336.5,0.029644615789628175,simulated
Ahmedabad,2018,4,0.4893882492872409,3188190592881327.0,0.03460689510515101,simulated
Ahmedabad,2018,5,0.5273200617618307,3536298511667789.0,0.033197438789130604,simulated
Ahmedabad,2018,6,0.40771014832436303,791947923042853.9,0.029080664943977895,simulated
Ahmedabad,2018,7,0.26565375344937286,2149445881844546.0,0.03527429847897049,simulated
Ahmedabad,2018,8,0.36888316071334337,891079635492282.2,0.04501559133889154,simulated
Ahmedabad,2018,9,0.42327927193302184,3172268050907270.5,0.027638701702778157,simulated
Ahmedabad,2018,10,0.33967893166369634,4993996578970237.0,0.05091311070517468,simulated
Ahmedabad,2018,11,0.2725951688482536,3366101062759018.5,0.032824401966385176,simulated
Ahmedabad,2018,12,0.7535567185430866,5087745573447999.0,0.04553441803123033,simulated
Ahmedabad,2019,1,0.37487812685965294,2407274812579357.5,0.06558850131523862,simulated
Ahmedabad,2019,2,0.1624043852002581,1514095895350715.0,0.027318667739691334,simulated
Ahmedabad,2019,3,0.19411065057088042,2071396066164419.2,0.03502701047242539,simulated
Ahmedabad,2019,4,0.2269278690308472,1046127500707140.4,0.02655444342744464,simulated
Ahmedabad,2019,5,0.5625673905374794,1655974757193694.8,0.040637128081403975,simulated
Ahmedabad,2019,6,0.29235069809880176,2426440970289444.5,0.0291964137445976,simulated
Ahmedabad,2019,7,0.39590688615778463,2374301581612547.0,0.02078883294952713,simulated
Ahmedabad,2019,8,0.2296957506224654,2969188598363698.0,0.03959634806298367,simulated
Ahmedabad,2019,9,0.4913619919383848,521358753387913.44,0.02203462913744348,simulated
Ahmedabad,2019,10,0.2765635375366028,4582893450108264.0,0.06060784229719754,simulated
Ahmedabad,2019,11,0.7574535631639506,1512686986862412.5,0.054213387039409436,simulated
Ahmedabad,2019,12,0.65308553404629,3501002414005397.5,0.03596582608377416,simulated
Ahmedabad,2020,1,0.5267140985273159,6021949618360530.0,0.06846250014979108,simulated
Ahmedabad,2020,2,0.15263523278333213,1607091317037941.5,0.027140640078884375,simulated
Ahmedabad,2020,3,0.23098027477711275,3732112942548287.0,0.029645054080280814,simulated
Ahmedabad,2020,4,0.1603481812742567,3271349254799360.5,0.02760950516519538,simulated
Ahmedabad,2020,5,0.4812322424873663,3330848773971227.5,0.027427045048280065,simulated
Ahmedabad,2020,6,0.5913616077868517,2637353530779477.5,0.03339572196589166,simulated
Ahmedabad,2020,7,0.20072168240034727,3377666586660877.0,0.0234864534648648,simulated
Aizawl,2015,1,0.6402573359648424,2995752837888958.0,0.07009029189180416,simulated
Aizawl,2015,2,0.21858726867712872,1960214719896344.5,0.0333155621346215,simulated
Aizawl,2015,3,0.48792106459885276,1035529079821045.4,0.024333970999014333,simulated
Aizawl,2015,4,0.3092926219489979,2570101521329249.5,0.03942891068362812,simulated
Aizawl,2015,5,0.49686895373151363,3667654518109861.0,0.04445682804865293,simulated
Aizawl,2015,6,0.5689664507401048,2294331037005563.0,0.039275189363413426,simulated
